  QueueTimes | ServiceTimes | SojournTimes
       0.082 |        2.831 |        2.913
       0.067 |        0.686 |        0.753
       0.053 |        1.121 |        1.174
       0.074 |        0.564 |        0.638
       0.078 |        1.587 |        1.666
       0.099 |        1.073 |        1.172
       0.146 |        3.633 |        3.779
       0.066 |        0.461 |        0.527
       0.140 |        1.284 |        1.425
       0.073 |        0.733 |        0.806
       0.084 |        0.586 |        0.670
       0.098 |        2.081 |        2.179
       0.080 |        0.511 |        0.592
       0.071 |        0.374 |        0.446
       0.121 |        0.888 |        1.009
       0.069 |        1.594 |        1.663
       0.078 |        1.389 |        1.468
       0.134 |        1.567 |        1.701
       0.159 |        0.474 |        0.633
       0.113 |        0.773 |        0.886
       0.067 |        0.429 |        0.496
       0.431 |        0.893 |        1.324
       0.338 |        0.483 |        0.822
       0.228 |        0.294 |        0.522
       0.112 |        0.446 |        0.559
       0.095 |        0.611 |        0.706
       0.156 |        0.626 |        0.782
       0.171 |        0.906 |        1.077
       0.092 |        0.417 |        0.509
       0.086 |        2.430 |        2.517
       0.152 |        1.058 |        1.210
       0.083 |        0.664 |        0.747
       0.080 |        0.614 |        0.695
       0.186 |        0.766 |        0.951
       0.071 |        0.508 |        0.579
       0.109 |        1.712 |        1.821
       0.111 |        0.465 |        0.577
       0.139 |        0.620 |        0.759
       0.106 |        1.510 |        1.616
       0.118 |        2.700 |        2.818
       0.056 |        0.385 |        0.441
       0.050 |        0.296 |        0.346
       0.114 |        1.422 |        1.536
       0.063 |        1.284 |        1.347
       0.088 |        0.461 |        0.549
       0.071 |        0.370 |        0.441
       0.248 |        3.260 |        3.508
       0.057 |        1.815 |        1.873
       0.097 |        0.564 |        0.661
       0.146 |        0.995 |        1.141
       0.071 |        1.128 |        1.199
       0.162 |        1.363 |        1.525
       0.084 |        0.232 |        0.316
       0.071 |        0.309 |        0.379
       0.086 |        1.909 |        1.994
       0.108 |        1.447 |        1.556
       0.101 |        1.203 |        1.305
       0.065 |        1.112 |        1.177
       0.118 |        0.563 |        0.682
       0.098 |        0.644 |        0.742
       0.152 |        1.196 |        1.347
       0.077 |        0.829 |        0.906
       0.073 |        0.667 |        0.739
       0.107 |        1.532 |        1.639
       0.128 |        1.439 |        1.567
       0.159 |        1.155 |        1.314
       0.146 |        0.484 |        0.631
       0.087 |        0.646 |        0.733
       0.383 |        0.385 |        0.768
       0.061 |        1.029 |        1.090
       0.097 |        0.486 |        0.583
       0.094 |        0.600 |        0.694
       0.127 |        0.866 |        0.993
       0.168 |        2.654 |        2.822
       0.078 |        1.538 |        1.616
